Age Group,Download Date,Funnel,Platform,Users
25-34,11/01/2021,Downloaded,ios,5
Not specified,15/07/2021,Downloaded,android,4
18-24,01/12/2021,Downloaded,ios,2
Unknown,04/01/2021,Downloaded,android,4
Unknown,20/03/2021,Downloaded,android,2
18-24,20/08/2021,Downloaded,web,1
35-44,15/01/2021,Downloaded,ios,10
25-34,23/10/2021,Downloaded,ios,3
18-24,26/03/2021,Downloaded,ios,4
Not specified,20/04/2021,Downloaded,ios,5
35-44,04/04/2021,Downloaded,web,1
35-44,05/02/2021,Downloaded,ios,12
Unknown,26/10/2021,Downloaded,ios,12
35-44,30/06/2021,Downloaded,ios,13
18-24,04/01/2021,Downloaded,ios,10
Not specified,07/07/2021,Downloaded,web,1
Not specified,23/02/2021,Downloaded,web,2
18-24,07/12/2021,Downloaded,ios,4
35-44,12/02/2021,Downloaded,android,2
18-24,04/06/2021,Downloaded,ios,3
Unknown,05/06/2021,Downloaded,ios,12
25-34,24/04/2021,Downloaded,android,4
Unknown,21/12/2021,Downloaded,ios,14
25-34,26/01/2021,Downloaded,android,1
Not specified,05/08/2021,Downloaded,android,5
Not specified,04/03/2021,Downloaded,android,5
35-44,29/10/2021,Downloaded,ios,11
35-44,21/07/2021,Downloaded,android,2
Not specified,01/12/2021,Downloaded,web,1
35-44,30/05/2021,Downloaded,android,6
45-54,21/01/2021,Downloaded,android,1
45-54,14/05/2021,Downloaded,ios,6
35-44,17/06/2021,Downloaded,web,1
Not specified,20/06/2021,Downloaded,android,6
18-24,10/04/2021,Downloaded,web,1
35-44,19/12/2021,Downloaded,ios,8
35-44,30/06/2021,Downloaded,web,2
Unknown,14/07/2021,Downloaded,android,3
25-34,05/05/2021,Downloaded,android,2
Not specified,14/08/2021,Downloaded,android,4
45-54,24/07/2021,Downloaded,android,1
Unknown,09/01/2021,Downloaded,ios,8
Unknown,16/06/2021,Downloaded,ios,8
25-34,04/02/2021,Downloaded,ios,6
18-24,13/05/2021,Downloaded,web,2
35-44,03/02/2021,Downloaded,android,2
25-34,17/12/2021,Downloaded,web,1
35-44,16/03/2021,Downloaded,ios,11
25-34,12/02/2021,Downloaded,ios,4
Not specified,20/01/2021,Downloaded,ios,14
Unknown,26/10/2021,Downloaded,web,1
35-44,10/11/2021,Downloaded,ios,9
35-44,20/02/2021,Downloaded,ios,4
45-54,24/11/2021,Downloaded,android,2
35-44,08/09/2021,Downloaded,android,2
Unknown,22/07/2021,Downloaded,ios,12
45-54,13/08/2021,Downloaded,ios,3
Unknown,23/05/2021,Downloaded,web,2
35-44,02/01/2021,Downloaded,android,6
35-44,29/12/2021,Downloaded,android,1
Not specified,10/02/2021,Downloaded,web,3
18-24,11/09/2021,Downloaded,web,1
35-44,05/05/2021,Downloaded,android,2
35-44,13/01/2021,Downloaded,web,1
45-54,09/12/2021,Downloaded,android,1
Not specified,07/05/2021,Downloaded,android,3
45-54,07/03/2021,Downloaded,ios,4
35-44,27/09/2021,Downloaded,web,1
Unknown,13/03/2021,Downloaded,web,1
18-24,08/12/2021,Downloaded,android,3
Unknown,27/02/2021,Downloaded,ios,11
Not specified,26/11/2021,Downloaded,ios,6
Unknown,22/06/2021,Downloaded,android,3
35-44,26/05/2021,Downloaded,web,2
Unknown,10/03/2021,Downloaded,ios,7
35-44,25/10/2021,Downloaded,web,2
45-54,20/05/2021,Downloaded,ios,4
25-34,17/05/2021,Downloaded,android,3
Unknown,05/02/2021,Downloaded,android,1
45-54,05/02/2021,Downloaded,ios,4
45-54,26/10/2021,Downloaded,android,3
Unknown,07/12/2021,Downloaded,web,2
45-54,11/10/2021,Downloaded,ios,1
25-34,04/08/2021,Downloaded,web,1
18-24,06/03/2021,Downloaded,ios,4
18-24,16/06/2021,Downloaded,android,2
45-54,24/10/2021,Downloaded,web,1
18-24,05/11/2021,Downloaded,ios,4
35-44,07/10/2021,Downloaded,android,3
Unknown,13/10/2021,Downloaded,web,3
35-44,22/01/2021,Downloaded,android,4
25-34,30/09/2021,Downloaded,ios,2
Not specified,09/10/2021,Downloaded,ios,9
Unknown,19/02/2021,Downloaded,ios,9
